user_id,game_name,payment_month,total_revenue,total_revenue_previous,status,age,has_older_device_model,language
WSQTlRZJRg4Rb+rqe56nJg==,game 3,2022-10-01,32.13,30.509999999999998,active,26,False,uk
WSQTlRZJRg4Rb+rqe56nJg==,game 3,2022-11-01,17.67,32.13,active,26,False,uk
WSQTlRZJRg4Rb+rqe56nJg==,game 3,2022-12-01,13.98,17.67,active,26,False,uk
Wi8qtp9drPDZD0laCPi2Ng==,game 3,2022-03-01,0.0,0.0,deactive,26,False,uk
Wi8qtp9drPDZD0laCPi2Ng==,game 3,2022-04-01,0.0,0.0,deactive,26,False,uk
Wi8qtp9drPDZD0laCPi2Ng==,game 3,2022-05-01,12.99,0.0,new,26,False,uk
Wi8qtp9drPDZD0laCPi2Ng==,game 3,2022-06-01,14.04,12.99,active,26,False,uk
Wi8qtp9drPDZD0laCPi2Ng==,game 3,2022-07-01,0.0,14.04,churn,26,False,uk
Wi8qtp9drPDZD0laCPi2Ng==,game 3,2022-08-01,0.0,0.0,deactive,26,False,uk
Wi8qtp9drPDZD0laCPi2Ng==,game 3,2022-09-01,26.64,0.0,back,26,False,uk
Wi8qtp9drPDZD0laCPi2Ng==,game 3,2022-10-01,0.0,26.64,churn,26,False,uk
Wi8qtp9drPDZD0laCPi2Ng==,game 3,2022-11-01,0.0,0.0,deactive,26,False,uk
Wi8qtp9drPDZD0laCPi2Ng==,game 3,2022-12-01,13.14,0.0,back,26,False,uk
Wua5DlzLb2yNeSrcG9Xi3g==,game 3,2022-03-01,0.0,0.0,deactive,23,False,uk
Wua5DlzLb2yNeSrcG9Xi3g==,game 3,2022-04-01,59.849999999999994,0.0,new,23,False,uk
Wua5DlzLb2yNeSrcG9Xi3g==,game 3,2022-05-01,68.73,59.849999999999994,active,23,False,uk
Wua5DlzLb2yNeSrcG9Xi3g==,game 3,2022-06-01,0.0,68.73,churn,23,False,uk
Wua5DlzLb2yNeSrcG9Xi3g==,game 3,2022-07-01,0.0,0.0,deactive,23,False,uk
Wua5DlzLb2yNeSrcG9Xi3g==,game 3,2022-08-01,0.0,0.0,deactive,23,False,uk
Wua5DlzLb2yNeSrcG9Xi3g==,game 3,2022-09-01,17.67,0.0,back,23,False,uk
Wua5DlzLb2yNeSrcG9Xi3g==,game 3,2022-10-01,26.28,17.67,active,23,False,uk
Wua5DlzLb2yNeSrcG9Xi3g==,game 3,2022-11-01,0.0,26.28,churn,23,False,uk
Wua5DlzLb2yNeSrcG9Xi3g==,game 3,2022-12-01,0.0,0.0,deactive,23,False,uk
XD0CalOV926o6zGoOAKfVA==,game 3,2022-03-01,0.0,0.0,deactive,14,True,uk
XD0CalOV926o6zGoOAKfVA==,game 3,2022-04-01,0.0,0.0,deactive,14,True,uk
XD0CalOV926o6zGoOAKfVA==,game 3,2022-05-01,0.0,0.0,deactive,14,True,uk
XD0CalOV926o6zGoOAKfVA==,game 3,2022-06-01,0.0,0.0,deactive,14,True,uk
XD0CalOV926o6zGoOAKfVA==,game 3,2022-07-01,0.0,0.0,deactive,14,True,uk
XD0CalOV926o6zGoOAKfVA==,game 3,2022-08-01,0.0,0.0,deactive,14,True,uk
XD0CalOV926o6zGoOAKfVA==,game 3,2022-09-01,0.0,0.0,deactive,14,True,uk
XD0CalOV926o6zGoOAKfVA==,game 3,2022-10-01,12.75,0.0,new,14,True,uk
XD0CalOV926o6zGoOAKfVA==,game 3,2022-11-01,0.0,12.75,churn,14,True,uk
XD0CalOV926o6zGoOAKfVA==,game 3,2022-12-01,0.0,0.0,deactive,14,True,uk
XE2e8BsmBo72HxABlJmsRw==,game 3,2022-03-01,38.16,0.0,new,20,False,uk
XE2e8BsmBo72HxABlJmsRw==,game 3,2022-04-01,0.0,38.16,churn,20,False,uk
XE2e8BsmBo72HxABlJmsRw==,game 3,2022-05-01,0.0,0.0,deactive,20,False,uk
XE2e8BsmBo72HxABlJmsRw==,game 3,2022-06-01,0.0,0.0,deactive,20,False,uk
XE2e8BsmBo72HxABlJmsRw==,game 3,2022-07-01,0.0,0.0,deactive,20,False,uk
XE2e8BsmBo72HxABlJmsRw==,game 3,2022-08-01,0.0,0.0,deactive,20,False,uk
XE2e8BsmBo72HxABlJmsRw==,game 3,2022-09-01,0.0,0.0,deactive,20,False,uk
XE2e8BsmBo72HxABlJmsRw==,game 3,2022-10-01,0.0,0.0,deactive,20,False,uk
XE2e8BsmBo72HxABlJmsRw==,game 3,2022-11-01,0.0,0.0,deactive,20,False,uk
XE2e8BsmBo72HxABlJmsRw==,game 3,2022-12-01,0.0,0.0,deactive,20,False,uk
XqdSNtx2TLDI6FMex45KTw==,game 3,2022-03-01,0.0,0.0,deactive,33,False,uk
XqdSNtx2TLDI6FMex45KTw==,game 3,2022-04-01,0.0,0.0,deactive,33,False,uk
XqdSNtx2TLDI6FMex45KTw==,game 3,2022-05-01,0.0,0.0,deactive,33,False,uk
XqdSNtx2TLDI6FMex45KTw==,game 3,2022-06-01,0.0,0.0,deactive,33,False,uk
XqdSNtx2TLDI6FMex45KTw==,game 3,2022-07-01,0.0,0.0,deactive,33,False,uk
